Stock Balance ,KABAC CABLE ACCESSORIES (M) SDN BHD (729374-H),,,,,
,,,,,,
,,,,,,
,,,,,,
Item Code,Item Description,Location,UOM,Bal. Qty,Avg. Cost,Total Cost
,,,,,,
,,,,,,
,,,,,,
CM-EC-0-Y ( 1 ),0.75-3.2mm CABLE MARKER ( 1 )(YELLOW),HQ,ROLL,22.00,1.70,37.50
CM-EC-0-Y ( 2 ),0.75-3.2mm CABLE MARKER ( 2 )(YELLOW),HQ,ROLL,26.00,1.71,44.50
CM-EC-0-Y ( 3 ),0.75-3.2mm CABLE MARKER ( 3 )(YELLOW),HQ,ROLL,40.00,1.73,69.00
CM-EC-0-Y ( 4 ),0.75-3.2mm CABLE MARKER ( 4 )(YELLOW),HQ,ROLL,26.00,1.59,41.38
CM-EC-0-Y ( 5 ),0.75-3.2mm CABLE MARKER ( 5 )(YELLOW),HQ,ROLL,33.00,1.72,56.75
CM-EC-0-Y ( 6 ),0.75-3.2mm CABLE MARKER ( 6 )(YELLOW),HQ,ROLL,34.00,1.72,58.50
CM-EC-0-Y ( 7 ),0.75-3.2mm CABLE MARKER ( 7 )(YELLOW),HQ,ROLL,33.00,1.74,57.40
CM-EC-0-Y ( 8 ),0.75-3.2mm CABLE MARKER ( 8 )(YELLOW),HQ,ROLL,33.00,1.74,57.40
CM-EC-0-Y ( 9 ),0.75-3.2mm CABLE MARKER ( 9 )(YELLOW),HQ,ROLL,29.00,1.55,45.07
CM-EC-0-Y ( A ),0.75-3.2mm CABLE MARKER ( A )(YELLOW),HQ,ROLL,36.00,1.49,53.68
CM-EC-0-Y ( B ),0.75-3.2mm CABLE MARKER ( B )(YELLOW),HQ,ROLL,38.00,1.23,46.74
CM-EC-0-Y ( BLANK ),0.75-3.2mm CABLE MARKER ( BLANK )(YELLOW),HQ,ROLL,19.00,1.23,23.37
CM-EC-0-Y ( C ),0.75-3.2mm CABLE MARKER ( C )(YELLOW),HQ,ROLL,40.00,1.23,49.20
CM-EC-0-Y ( D ),0.75-3.2mm CABLE MARKER ( D )(YELLOW),HQ,ROLL,41.00,1.23,50.43
CM-EC-0-Y ( E ),0.75-3.2mm CABLE MARKER ( E )(YELLOW),HQ,ROLL,40.00,1.23,49.20
CM-EC-0-Y ( F ),0.75-3.2mm CABLE MARKER ( F )(YELLOW),HQ,ROLL,42.00,1.23,51.66
CM-EC-0-Y ( G ),0.75-3.2mm CABLE MARKER ( G )(YELLOW),HQ,ROLL,37.00,1.23,45.51
CM-EC-0-Y ( H ),0.75-3.2mm CABLE MARKER ( H )(YELLOW),HQ,ROLL,44.00,1.23,54.12
CM-EC-0-Y ( I ),0.75-3.2mm CABLE MARKER ( I )(YELLOW),HQ,ROLL,43.00,1.23,52.89
CM-EC-0-Y ( J ),0.75-3.2mm CABLE MARKER ( J )(YELLOW),HQ,ROLL,44.00,1.23,54.12
CM-EC-0-Y ( K ),0.75-3.2mm CABLE MARKER ( K )(YELLOW),HQ,ROLL,43.00,1.23,52.89
CM-EC-0-Y ( L ),0.75-3.2mm CABLE MARKER ( L )(YELLOW),HQ,ROLL,32.00,1.23,39.36
CM-EC-0-Y ( M ),0.75-3.2mm CABLE MARKER ( M )(YELLOW),HQ,ROLL,44.00,1.23,54.12
CM-EC-0-Y ( N ),0.75-3.2mm CABLE MARKER ( N )(YELLOW),HQ,ROLL,18.00,1.23,22.14
CM-EC-0-Y ( O ),0.75-3.2mm CABLE MARKER ( O )(YELLOW),HQ,ROLL,41.00,1.23,50.43
CM-EC-0-Y ( P ),0.75-3.2mm CABLE MARKER ( P )(YELLOW),HQ,ROLL,43.00,1.23,52.89
CM-EC-0-Y ( Q ),0.75-3.2mm CABLE MARKER ( Q )(YELLOW),HQ,ROLL,44.00,1.23,54.12
CM-EC-0-Y ( R ),0.75-3.2mm CABLE MARKER ( R )(YELLOW),HQ,ROLL,42.00,1.23,51.66
CM-EC-0-Y ( S ),0.75-3.2mm CABLE MARKER ( S )(YELLOW),HQ,ROLL,43.00,1.23,52.89
CM-EC-0-Y ( T ),0.75-3.2mm CABLE MARKER ( T )(YELLOW),HQ,ROLL,39.00,1.23,47.97
CM-EC-0-Y ( U ),0.75-3.2mm CABLE MARKER ( U )(YELLOW),HQ,ROLL,43.00,1.23,52.89
CM-EC-0-Y ( V ),0.75-3.2mm CABLE MARKER ( V )(YELLOW),HQ,ROLL,34.00,1.23,41.82
CM-EC-0-Y ( W ),0.75-3.2mm CABLE MARKER ( W )(YELLOW),HQ,ROLL,42.00,1.23,51.66
CM-EC-0-Y ( X ),0.75-3.2mm CABLE MARKER ( X )(YELLOW),HQ,ROLL,37.00,1.23,45.51
CM-EC-0-Y ( Y ),0.75-3.2mm CABLE MARKER ( Y )(YELLOW),HQ,ROLL,41.00,1.23,50.43
CM-EC-0-Y ( Z ),0.75-3.2mm CABLE MARKER ( Z )(YELLOW),HQ,ROLL,42.00,1.23,51.66
